Cache + H-ADS;Cache + Log + H-ADS ;Cache + Log + Wp;Cache + Wp;H-ADS;Log + H-ADS;Log + Wp;Wp
1;1;1;1;1;1;1;1
0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;1;0;1;1;0
0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
0;0;0;1;0;0;0;0
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
0;1;1;0;0;1;1;0
1;1;1;1;1;1;1;1
0;1;1;0;0;0;1;0
0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;1;1;1;0;0
0;0;1;1;0;0;0;0
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;1;0;0;0;0
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
0;0;0;0;0;0;0;0
1;1;1;1;0;0;1;0
0;1;0;0;0;1;0;0
1;1;1;1;1;1;1;1
0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;1;1;0;0;0;0;0
1;1;1;1;1;1;1;1
0;0;0;0;0;0;0;0
0;1;1;0;0;1;1;0
1;1;1;1;1;1;1;1
1;1;1;1;0;0;0;0
0;0;1;1;0;0;0;0
0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0
0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;1;1;1;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;1;0;0;0;0
1;1;1;1;1;1;1;1
0;0;0;0;0;0;0;0
1;1;1;1;0;0;0;0
1;1;1;1;1;1;1;1
0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1
0;0;1;1;0;0;0;0
1;1;1;1;1;1;1;1
0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
0;0;0;0;0;0;0;0
0;1;1;0;0;1;1;0
1;1;1;1;1;1;0;0
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
0;0;0;0;0;0;0;0
1;1;1;1;0;0;0;0
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
1;1;1;0;0;0;0;0
0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
0;0;0;0;0;0;0;0
1;1;1;1;0;0;0;0
1;1;1;1;1;1;1;1
1;1;0;0;1;1;0;0
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;0
0;0;0;0;0;0;0;0
0;1;1;0;0;1;1;0
0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1
0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
0;0;1;1;0;0;0;0
1;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1
0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1
1;1;1;1;0;0;0;0
1;1;0;0;0;1;0;0
1;1;1;1;1;1;1;1
1;1;0;0;0;1;0;0
0;0;0;0;0;0;0;0
0;0;1;1;0;0;0;0
